"date","area","covid_cases_per_100k","covid_inpatient_bed_utilization","covid_hospital_admissions_per_100k","covid_19_community_level"
2022-05-26,"Clinton County","256.3","5.3","4.5","Medium"
2022-05-26,"Delta County","173.26","5.7","16.7","Medium"
2022-05-26,"Genesee County","254.06","4.2","7.1","Medium"
2022-05-26,"Gladwin County","141.46","3.2","8.6","Low"
2022-05-26,"Kent County","194.38","4.3","9.5","Low"
2022-05-26,"Lapeer County","147.25","4.2","7.1","Low"
2022-05-26,"Leelanau County","151.65","4.8","18.6","Medium"
2022-05-26,"Livingston County","235.94","5.2","13.4","High"
2022-05-26,"Macomb County","288.68","5.2","13.4","High"
2022-05-26,"Newaygo County","157.21","4.6","9","Low"
2022-05-26,"Osceola County","187.55","2.3","4.8","Low"
2022-05-26,"Oscoda County","121.34","4.1","6.4","Low"
2022-05-26,"Otsego County","218.91","2.6","9.6","Medium"
2022-05-26,"Ottawa County","163.11","4.5","3.4","Low"
2022-05-26,"Saginaw County","283.41","5.5","7.7","Medium"
2022-05-26,"Van Buren County","159.89","2.3","2.1","Low"
2022-05-26,"Alger County","230.57","5.7","16.7","High"
2022-05-26,"Alpena County","95.05","14.7","13.2","Medium"
2022-05-26,"Antrim County","158.63","4.8","18.6","Medium"
2022-05-26,"Arenac County","154.54","4.1","6.4","Low"
2022-05-26,"Calhoun County","212.43","5","11.8","High"
2022-05-26,"Cass County","96.55","2.3","2.1","Low"
2022-05-26,"Clare County","184.17","3.2","8.6","Low"
2022-05-26,"Crawford County","163.95","2.6","9.6","Low"
2022-05-26,"Iosco County","147.25","4.1","6.4","Low"
2022-05-26,"Iron County","117.48","1.3","5.8","Low"
2022-05-26,"Jackson County","221.44","3.7","5.8","Medium"
2022-05-26,"Keweenaw County","283.55","3.5","8.7","Medium"
2022-05-26,"Manistee County","240.25","4.8","18.6","High"
2022-05-26,"Mason County","150.97","4.6","9","Low"
2022-05-26,"Monroe County","307.64","3.9","13.6","High"
2022-05-26,"Montcalm County","205.05","4.3","9.5","Medium"
2022-05-26,"St. Clair County","188.53","2.8","8","Low"
2022-05-26,"St. Joseph County","85.3","4.1","7.7","Low"
2022-05-26,"Tuscola County","183.75","5.5","7.7","Low"
2022-05-26,"Wayne County","319.43","5.2","13.4","High"
2022-05-19,"Alcona County","76.89","11","18.1","Medium"
2022-05-19,"Barry County","172.22","6.1","7.7","Low"
2022-05-19,"Cheboygan County","371.89","5.9","16.5","High"
2022-05-19,"Clinton County","287.71","5.9","8.5","Medium"
2022-05-19,"Delta County","251.51","4.6","18.3","High"
2022-05-19,"Genesee County","264.41","3.7","8.5","Medium"
2022-05-19,"Gladwin County","113.95","3.6","9.5","Low"
2022-05-19,"Kent County","230.61","3.3","9.2","Medium"
2022-05-19,"Lapeer County","149.53","3.7","8.5","Low"
2022-05-19,"Leelanau County","156.24","6.2","18.6","Medium"
2022-05-19,"Livingston County","277.09","4.7","12.6","High"
2022-05-19,"Macomb County","363.86","4.7","12.6","High"
2022-05-19,"Newaygo County","142.92","4.6","7.5","Low"
2022-05-19,"Osceola County","127.88","3.4","5.9","Low"
2022-05-19,"Oscoda County","206.29","3.7","6.4","Medium"
2022-05-19,"Otsego County","247.28","5.5","15.9","High"
2022-05-19,"Ottawa County","186.75","4.6","4.1","Low"
2022-05-19,"Saginaw County","330.12","4.4","4.7","Medium"
2022-05-19,"Van Buren County","151.96","1.9","1.1","Low"
2022-05-19,"Alger County","142.73","4.6","18.3","Medium"
2022-05-19,"Alpena County","158.42","11","18.1","Medium"
2022-05-19,"Antrim County","218.66","6.2","18.6","High"
2022-05-19,"Arenac County","80.63","3.7","6.4","Low"
2022-05-19,"Calhoun County","175.17","6.1","7.7","Low"
2022-05-19,"Cass County","61.79","1.9","1.1","Low"
2022-05-19,"Clare County","138.93","3.6","9.5","Low"
2022-05-19,"Crawford County","292.25","5.5","15.9","High"
2022-05-19,"Iosco County","278.58","3.7","6.4","Medium"
2022-05-19,"Iron County","126.51","2.7","12.5","Medium"
2022-05-19,"Jackson County","227.75","3.2","4.3","Medium"
2022-05-19,"Keweenaw County","425.33","1.7","6.5","Medium"
2022-05-19,"Manistee County","187.31","6.2","18.6","Medium"
2022-05-19,"Mason County","168.13","4.6","7.5","Low"
2022-05-19,"Monroe County","345.51","3.6","12.9","High"
2022-05-19,"Montcalm County","156.52","3.3","9.2","Low"
2022-05-19,"St. Clair County","260.8","3.7","11.5","High"
2022-05-19,"St. Joseph County","85.3","4","6.1","Low"
2022-05-19,"Tuscola County","166.52","4.4","4.7","Low"
2022-05-19,"Wayne County","359.79","4.7","12.6","High"
2022-05-19,"Allegan County","183.77","4.6","4.1","Low"
2022-05-19,"Benzie County","225.15","6.2","18.6","High"
2022-05-19,"Berrien County","164.28","1.9","1.1","Low"
2022-05-19,"Charlevoix County","202.73","5.9","16.5","High"
2022-05-19,"Houghton County","168.14","1.7","6.5","Low"
2022-05-19,"Huron County","222.72","4.4","4.7","Medium"
2022-05-19,"Ionia County","187.03","3.3","9.2","Low"
2022-05-19,"Isabella County","177.47","3.6","9.5","Low"
2022-05-19,"Kalkaska County","282.74","6.2","18.6","High"
2022-05-19,"Lake County","151.86","3.4","5.9","Low"
2022-05-19,"Lenawee County","275.26","3.2","4.3","Medium"
2022-05-19,"Luce County","208.7","4.6","18.3","High"
2022-05-19,"Mecosta County","163.39","3.3","9.2","Low"
2022-05-19,"Midland County","303.04","3.6","9.5","Medium"
2022-05-19,"Muskegon County","168.81","4.6","7.5","Low"
2022-05-19,"Oakland County","376.91","4.7","12.6","High"
2022-05-19,"Oceana County","185.14","4.6","7.5","Low"
2022-05-19,"Ontonagon County","122.38","2.6","7.6","Low"
2022-05-19,"Roscommon County","179.02","5.5","15.9","Medium"
2022-05-19,"Schoolcraft County","284.16","4.6","18.3","High"
2022-05-19,"Washtenaw County","501.36","4.7","12.6","High"
2022-05-19,"Bay County","241.45","3.7","6.4","Medium"
2022-05-19,"Baraga County","146.18","1.7","6.5","Low"
2022-05-19,"Branch County","112.6","3.2","4.3","Low"
2022-05-19,"Chippewa County","305.23","5.9","16.5","High"
2022-05-19,"Dickinson County","182.26","2.7","12.5","Medium"
2022-05-19,"Eaton County","311.06","5.9","8.5","Medium"
2022-05-19,"Emmet County","182.55","5.9","16.5","Medium"
2022-05-19,"Gogebic County","228.98","2.6","7.6","Medium"
2022-05-19,"Grand Traverse County","214.85","6.2","18.6","High"
2022-05-19,"Gratiot County","149.84","3.3","9.2","Low"
2022-05-19,"Hillsdale County","153.49","3.2","4.3","Low"
2022-05-19,"Ingham County","307.45","5.9","8.5","Medium"
2022-05-19,"Kalamazoo County","253.52","4","6.1","Medium"
2022-05-19,"Mackinac County","388.92","5.9","16.5","High"
2022-05-19,"Marquette County","364.32","4.6","18.3","High"
2022-05-19,"Menominee County","166.81","2.7","12.5","Medium"
2022-05-19,"Missaukee County","158.75","3.4","5.9","Low"
2022-05-19,"Montmorency County","85.76","11","18.1","Medium"
2022-05-19,"Ogemaw County","128.59","3.7","6.4","Low"
2022-05-19,"Presque Isle County","270.01","11","18.1","High"
2022-05-19,"Sanilac County","121.45","3.7","11.5","Medium"
2022-05-19,"Shiawassee County","243.68","5.9","8.5","Medium"
2022-05-19,"Wexford County","208.14","3.4","5.9","Medium"
2022-05-12,"Dickinson County","170.37","0.3","1","Low"
2022-05-12,"Menominee County","162.42","0.3","1","Low"
2022-05-12,"Iron County","126.51","0.3","1","Low"
2022-05-12,"Gladwin County","94.31","1.9","4.8","Low"
2022-05-12,"Clare County","142.16","1.9","4.8","Low"
2022-05-12,"Isabella County","228.99","1.9","4.8","Medium"
2022-05-12,"Midland County","209.25","1.9","4.8","Medium"
2022-05-12,"Branch County","96.51","2.3","4","Low"
2022-05-12,"Hillsdale County","78.94","2.3","4","Low"
2022-05-12,"Jackson County","205.03","2.3","4","Medium"
2022-05-12,"Lenawee County","319.96","2.3","4","Medium"
2022-05-12,"Otsego County","283.77","1.7","9.6","Medium"
2022-05-12,"Crawford County","235.23","1.7","9.6","Medium"
2022-05-12,"Roscommon County","141.55","1.7","9.6","Low"
2022-05-12,"Monroe County","347.51","3","7.6","Medium"
2022-05-12,"Sanilac County","123.88","2","10.5","Medium"
2022-05-12,"St. Clair County","231.89","2","10.5","High"
2022-05-12,"Kent County","221.32","2.4","9","Medium"
2022-05-12,"Gratiot County","206.33","2.4","9","Medium"
2022-05-12,"Montcalm County","128.35","2.4","9","Low"
2022-05-12,"Ionia County","190.12","2.4","9","Low"
2022-05-12,"Mecosta County","124.27","2.4","9","Low"
2022-05-12,"Ottawa County","192.24","4.7","4.4","Low"
2022-05-12,"Allegan County","136.35","4.7","4.4","Low"
2022-05-12,"Saginaw County","226.73","3.7","8.4","Medium"
2022-05-12,"Tuscola County","153.12","3.7","8.4","Low"
2022-05-12,"Huron County","193.67","3.7","8.4","Low"
2022-05-12,"Kalamazoo County","212.4","3.6","7.1","Medium"
2022-05-12,"St. Joseph County","90.22","3.6","7.1","Low"
2022-05-12,"Gogebic County","128.8","2.8","11.9","Medium"
2022-05-12,"Ontonagon County","139.86","2.8","11.9","Medium"
2022-05-12,"Clinton County","452.29","4.4","8.2","Medium"
2022-05-12,"Eaton County","260.27","4.4","8.2","Medium"
2022-05-12,"Ingham County","309.5","4.4","8.2","Medium"
2022-05-12,"Shiawassee County","226.07","4.4","8.2","Medium"
2022-05-12,"Cheboygan County","367.94","2.6","12","High"
2022-05-12,"Chippewa County","275.78","2.6","12","High"
2022-05-12,"Emmet County","305.25","2.6","12","High"
2022-05-12,"Mackinac County","370.4","2.6","12","High"
2022-05-12,"Charlevoix County","156.83","2.6","12","Medium"
2022-05-12,"Van Buren County","142.71","2.8","4.6","Low"
2022-05-12,"Cass County","96.55","2.8","4.6","Low"
2022-05-12,"Berrien County","149.93","2.8","4.6","Low"
2022-05-12,"Baraga County","36.55","1.6","4.3","Low"
2022-05-12,"Keweenaw County","141.78","1.6","4.3","Low"
2022-05-12,"Houghton County","168.14","1.6","4.3","Low"
2022-05-12,"Barry County","115.35","5.6","12.3","Medium"
2022-05-12,"Calhoun County","241.5","5.6","12.3","High"
2022-05-12,"Leelanau County","197.6","3.7","16.6","Medium"
2022-05-12,"Grand Traverse County","238.48","3.7","16.6","High"
2022-05-12,"Antrim County","222.95","3.7","16.6","High"
2022-05-12,"Manistee County","203.6","3.7","16.6","High"
2022-05-12,"Benzie County","225.15","3.7","16.6","High"
2022-05-12,"Kalkaska County","227.3","3.7","16.6","High"
2022-05-12,"Livingston County","286.99","3.7","10.7","High"
2022-05-12,"Macomb County","347.61","3.7","10.7","High"
2022-05-12,"Wayne County","323.44","3.7","10.7","High"
2022-05-12,"Oakland County","372.62","3.7","10.7","High"
2022-05-12,"Washtenaw County","521.49","3.7","10.7","High"
2022-05-12,"Delta County","184.44","2.5","4.8","Low"
2022-05-12,"Marquette County","281.86","2.5","4.8","Medium"
2022-05-12,"Alger County","109.79","2.5","4.8","Low"
2022-05-12,"Luce County","128.43","2.5","4.8","Low"
2022-05-12,"Schoolcraft County","111.19","2.5","4.8","Low"
2022-05-12,"Newaygo County","140.87","3.3","9.3","Low"
2022-05-12,"Mason County","171.56","3.3","9.3","Low"
2022-05-12,"Muskegon County","150.95","3.3","9.3","Low"
2022-05-12,"Oceana County","143.58","3.3","9.3","Low"
2022-05-12,"Osceola County","136.4","0.3","1.2","Low"
2022-05-12,"Missaukee County","158.75","0.3","1.2","Low"
2022-05-12,"Wexford County","130.83","0.3","1.2","Low"
2022-05-12,"Lake County","194.04","0.3","1.2","Low"
2022-05-12,"Lapeer County","158.66","2.3","6.5","Low"
2022-05-12,"Genesee County","231.88","2.3","6.5","Medium"
2022-05-12,"Oscoda County","72.81","3.5","8.1","Low"
2022-05-12,"Bay County","205.57","3.5","8.1","Medium"
2022-05-12,"Ogemaw County","138.11","3.5","8.1","Low"
2022-05-12,"Arenac County","167.98","3.5","8.1","Low"
2022-05-12,"Iosco County","123.37","3.5","8.1","Low"
2022-05-12,"Alcona County","67.28","9.4","14.8","Medium"
2022-05-12,"Montmorency County","53.6","9.4","14.8","Medium"
2022-05-12,"Presque Isle County","103.24","9.4","14.8","Medium"
2022-05-12,"Alpena County","147.86","9.4","14.8","Medium"
2022-05-05,"Wayne County","235.75","3","9.6","Medium"
2022-05-05,"Oakland County","265.67","3","9.6","Medium"
2022-05-05,"Washtenaw County","397.71","3","9.6","Medium"
2022-05-05,"Livingston County","226.05","3","9.6","Medium"
2022-05-05,"Macomb County","230.79","3","9.6","Medium"
2022-05-05,"Monroe County","226.58","2.2","7.4","Medium"
2022-05-05,"Montcalm County","76.7","2.6","6.7","Low"
2022-05-05,"Ionia County","119.02","2.6","6.7","Low"
2022-05-05,"Mecosta County","71.34","2.6","6.7","Low"
2022-05-05,"Kent County","137.91","2.6","6.7","Low"
2022-05-05,"Gratiot County","142.47","2.6","6.7","Low"
2022-05-05,"Iron County","54.22","0.9","1","Low"
2022-05-05,"Dickinson County","138.67","0.9","1","Low"
2022-05-05,"Menominee County","79.02","0.9","1","Low"
2022-05-05,"Arenac County","215.01","1.9","7","Medium"
2022-05-05,"Iosco County","59.7","1.9","7","Low"
2022-05-05,"Oscoda County","84.94","1.9","7","Low"
2022-05-05,"Bay County","126.06","1.9","7","Low"
2022-05-05,"Ogemaw County","104.78","1.9","7","Low"
2022-05-05,"Calhoun County","156.53","3.7","5.6","Low"
2022-05-05,"Barry County","84.48","3.7","5.6","Low"
2022-05-05,"Antrim County","132.91","1.7","12.1","Medium"
2022-05-05,"Manistee County","61.08","1.7","12.1","Medium"
2022-05-05,"Benzie County","90.06","1.7","12.1","Medium"
2022-05-05,"Kalkaska County","99.79","1.7","12.1","Medium"
2022-05-05,"Leelanau County","156.24","1.7","12.1","Medium"
2022-05-05,"Grand Traverse County","224.52","1.7","12.1","High"
2022-05-05,"Ontonagon County","69.93","0.9","9.8","Low"
2022-05-05,"Gogebic County","57.25","0.9","9.8","Low"
2022-05-05,"Clinton County","231.17","3.7","6.7","Medium"
2022-05-05,"Eaton County","152.36","3.7","6.7","Low"
2022-05-05,"Ingham County","199.72","3.7","6.7","Low"
2022-05-05,"Shiawassee County","158.54","3.7","6.7","Low"
2022-05-05,"Alger County","32.94","2.1","6.4","Low"
2022-05-05,"Luce County","96.32","2.1","6.4","Low"
2022-05-05,"Schoolcraft County","98.84","2.1","6.4","Low"
2022-05-05,"Delta County","92.22","2.1","6.4","Low"
2022-05-05,"Marquette County","205.4","2.1","6.4","Medium"
2022-05-05,"Cass County","59.86","2.9","1.1","Low"
2022-05-05,"Berrien County","99.09","2.9","1.1","Low"
2022-05-05,"Van Buren County","111","2.9","1.1","Low"
2022-05-05,"St. Joseph County","34.45","2","3.4","Low"
2022-05-05,"Kalamazoo County","144.12","2","3.4","Low"
2022-05-05,"Tuscola County","59.34","2.7","4.4","Low"
2022-05-05,"Huron County","142.02","2.7","4.4","Low"
2022-05-05,"Saginaw County","127.01","2.7","4.4","Low"
2022-05-05,"Genesee County","156.23","1.6","3.6","Low"
2022-05-05,"Lapeer County","84.47","1.6","3.6","Low"
2022-05-05,"Crawford County","78.41","2.1","6.4","Low"
2022-05-05,"Roscommon County","87.43","2.1","6.4","Low"
2022-05-05,"Otsego County","113.51","2.1","6.4","Low"
2022-05-05,"Cheboygan County","193.86","1.4","5.3","Low"
2022-05-05,"Chippewa County","182.07","1.4","5.3","Low"
2022-05-05,"Emmet County","128.68","1.4","5.3","Low"
2022-05-05,"Mackinac County","166.68","1.4","5.3","Low"
2022-05-05,"Charlevoix County","122.4","1.4","5.3","Low"
2022-05-05,"Gladwin County","110.02","2.1","4.3","Low"
2022-05-05,"Clare County","90.47","2.1","4.3","Low"
2022-05-05,"Isabella County","140.26","2.1","4.3","Low"
2022-05-05,"Midland County","116.65","2.1","4.3","Low"
2022-05-05,"Newaygo County","79.62","2.9","3.6","Low"
2022-05-05,"Mason County","102.94","2.9","3.6","Low"
2022-05-05,"Muskegon County","97.37","2.9","3.6","Low"
2022-05-05,"Oceana County","94.46","2.9","3.6","Low"
2022-05-05,"Sanilac County","92.3","1.9","5.5","Low"
2022-05-05,"St. Clair County","158.99","1.9","5.5","Low"
2022-05-05,"Baraga County","73.09","1.2","6.5","Low"
2022-05-05,"Keweenaw County","236.29","1.2","6.5","Medium"
2022-05-05,"Houghton County","154.13","1.2","6.5","Low"
2022-05-05,"Osceola County","55.41","4.6","1.2","Low"
2022-05-05,"Missaukee County","33.07","4.6","1.2","Low"
2022-05-05,"Wexford County","56.5","4.6","1.2","Low"
2022-05-05,"Lake County","168.73","4.6","1.2","Low"
2022-05-05,"Ottawa County","129.18","3.7","2","Low"
2022-05-05,"Allegan County","69.44","3.7","2","Low"
2022-05-05,"Alcona County","48.05","13.2","16.5","Medium"
2022-05-05,"Montmorency County","139.37","13.2","16.5","Medium"
2022-05-05,"Presque Isle County","15.88","13.2","16.5","Medium"
2022-05-05,"Alpena County","137.3","13.2","16.5","Medium"
2022-05-05,"Branch County","39.07","3","4.3","Low"
2022-05-05,"Hillsdale County","100.87","3","4.3","Low"
2022-05-05,"Jackson County","163.4","3","4.3","Low"
2022-05-05,"Lenawee County","152.36","3","4.3","Low"
2022-04-28,"Allegan County","60.98","2","1.2","Low"
2022-04-28,"Ottawa County","95.26","2","1.2","Low"
2022-04-28,"Cass County","34.76","3.4","3.2","Low"
2022-04-28,"Berrien County","73.66","3.4","3.2","Low"
2022-04-28,"Van Buren County","93.82","3.4","3.2","Low"
2022-04-28,"Clare County","45.23","2","5.7","Low"
2022-04-28,"Isabella County","68.7","2","5.7","Low"
2022-04-28,"Midland County","80.57","2","5.7","Low"
2022-04-28,"Gladwin County","55.01","2","5.7","Low"
2022-04-28,"Crawford County","64.15","2.8","8","Low"
2022-04-28,"Roscommon County","33.31","2.8","8","Low"
2022-04-28,"Otsego County","44.59","2.8","8","Low"
2022-04-28,"Alger County","0","1.5","0","Low"
2022-04-28,"Luce County","192.65","1.5","0","Low"
2022-04-28,"Schoolcraft County","0","1.5","0","Low"
2022-04-28,"Delta County","44.71","1.5","0","Low"
2022-04-28,"Marquette County","125.94","1.5","0","Low"
2022-04-28,"St. Clair County","110.6","1.4","5","Low"
2022-04-28,"Sanilac County","87.44","1.4","5","Low"
2022-04-28,"Montcalm County","48.52","2.1","4.5","Low"
2022-04-28,"Ionia County","69.56","2.1","4.5","Low"
2022-04-28,"Mecosta County","80.55","2.1","4.5","Low"
2022-04-28,"Kent County","92.85","2.1","4.5","Low"
2022-04-28,"Gratiot County","58.95","2.1","4.5","Low"
2022-04-28,"Lapeer County","59.36","1.8","5.1","Low"
2022-04-28,"Genesee County","102.26","1.8","5.1","Low"
2022-04-28,"Keweenaw County","189.04","2.3","4.3","Low"
2022-04-28,"Houghton County","86.87","2.3","4.3","Low"
2022-04-28,"Baraga County","36.55","2.3","4.3","Low"
2022-04-28,"Wayne County","194.3","2.4","8.2","Low"
2022-04-28,"Oakland County","220.34","2.4","8.2","Medium"
2022-04-28,"Washtenaw County","343.31","2.4","8.2","Medium"
2022-04-28,"Livingston County","142.19","2.4","8.2","Low"
2022-04-28,"Macomb County","197.37","2.4","8.2","Low"
2022-04-28,"Ontonagon County","34.97","0.4","0","Low"
2022-04-28,"Gogebic County","35.78","0.4","0","Low"
2022-04-28,"Clinton County","136.94","3.1","4","Low"
2022-04-28,"Eaton County","124.24","3.1","4","Low"
2022-04-28,"Ingham County","158","3.1","4","Low"
2022-04-28,"Shiawassee County","71.93","3.1","4","Low"
2022-04-28,"Charlevoix County","53.55","1.4","2.3","Low"
2022-04-28,"Cheboygan County","43.52","1.4","2.3","Low"
2022-04-28,"Chippewa County","72.29","1.4","2.3","Low"
2022-04-28,"Emmet County","107.74","1.4","2.3","Low"
2022-04-28,"Mackinac County","101.86","1.4","2.3","Low"
2022-04-28,"St. Joseph County","34.45","2.4","3.4","Low"
2022-04-28,"Kalamazoo County","121.86","2.4","3.4","Low"
2022-04-28,"Alpena County","102.09","9.2","13.2","Medium"
2022-04-28,"Alcona County","19.22","9.2","13.2","Medium"
2022-04-28,"Montmorency County","160.81","9.2","13.2","Medium"
2022-04-28,"Presque Isle County","31.77","9.2","13.2","Medium"
2022-04-28,"Calhoun County","103.61","4","6.6","Low"
2022-04-28,"Barry County","66.61","4","6.6","Low"
2022-04-28,"Antrim County","85.75","1.8","13.6","Medium"
2022-04-28,"Manistee County","40.72","1.8","13.6","Medium"
2022-04-28,"Benzie County","101.32","1.8","13.6","Medium"
2022-04-28,"Kalkaska County","94.25","1.8","13.6","Medium"
2022-04-28,"Leelanau County","78.12","1.8","13.6","Medium"
2022-04-28,"Grand Traverse County","91.31","1.8","13.6","Medium"
2022-04-28,"Monroe County","104.98","1.6","5.2","Low"
2022-04-28,"Mason County","92.64","1.5","5.4","Low"
2022-04-28,"Muskegon County","88.73","1.5","5.4","Low"
2022-04-28,"Oceana County","52.9","1.5","5.4","Low"
